start_dt,finish_dt,duration,distance_km,avg_speed_km_h,route,route features,notes
2024-05-17 22:30:00,2024-05-17 22:56:47,00:26:47,5.6,12.5,6 SNT,,
2024-05-20 18:30:00,2024-05-20 18:54:27,00:24:27,5.6,13.7,6 SNT,,
2024-05-23 22:30:00,2024-05-23 22:56:43,00:26:43,5.6,12.6,6 SNT,,
2024-05-27 22:00:00,2024-05-27 22:26:34,00:26:34,5.6,12.6,6 SNT,,
2024-05-29 22:30:00,2024-05-29 22:54:52,00:24:52,5,12.1,SNT-Shedrino-SNT,,
2024-06-03 22:30:00,2024-06-03 23:01:00,00:31:00,6.5,12.6,7 SNT,,
2024-06-09 22:00:00,2024-06-09 22:26:08,00:26:08,5.6,12.9,6 SNT,,
2024-06-23 23:00:00,2024-06-23 23:32:02,00:32:02,6.5,12.2,7 SNT,,
2024-06-25 22:00:00,2024-06-25 22:26:10,00:26:10,5.6,12.8,6 SNT,,
2024-06-29 22:00:00,2024-06-29 22:33:01,00:33:01,6.85,12.4,SNT-Dachnoe,,
2024-07-02 22:30:00,2024-07-02 22:56:48,00:26:48,5.6,12.5,6 SNT,,
2024-07-08 22:00:00,2024-07-08 22:29:12,00:29:12,6.5,13.4,7 SNT,,
2024-07-10 23:00:00,2024-07-10 23:25:36,00:25:36,5.6,13.1,6 SNT,,
2024-07-15 22:00:00,2024-07-15 22:30:13,00:30:13,5.6,11.1,6 SNT,8 accelerations,
2024-07-17 22:30:00,2024-07-17 22:58:13,00:28:13,5.6,11.9,6 SNT,,
2024-07-23 15:30:00,2024-07-23 16:00:53,00:30:53,6.85,13.3,SNT-Dachnoe,,
2024-07-25 15:30:00,2024-07-25 16:02:05,00:32:05,6.85,12.8,SNT-Dachnoe,,
2024-08-12 16:00:00,2024-08-12 16:21:23,00:21:23,4.3,12.1,Javoronki - SNT,,gap bc of health issue
2024-08-14 16:00:00,2024-08-14 16:25:07,00:25:07,4.65,11.1,5 SNT,,
2024-08-19 23:00:00,2024-08-19 23:24:24,00:24:24,4.65,11.4,5 SNT,,
2024-08-21 16:00:00,2024-08-21 16:33:10,00:33:10,6.85,12.4,SNT-Dachnoe,,
2024-08-27 15:00:00,2024-08-27 15:32:35,00:32:35,6.85,12.6,SNT-Dachnoe,,
2024-08-29 15:00:00,2024-08-29 15:32:30,00:32:30,6.85,12.6,SNT-Dachnoe,,
2024-09-03 15:00:00,2024-09-03 15:33:39,00:33:39,6.85,12.2,SNT-Dachnoe,,
2024-09-05 22:20:00,2024-09-05 22:44:48,00:24:48,4.65,11.3,5 SNT,,
2024-09-08 15:00:00,2024-09-08 15:32:49,00:32:49,6.85,12.5,SNT-Dachnoe,,
2024-09-10 16:00:00,2024-09-10 16:32:39,00:32:39,6.85,12.6,SNT-Dachnoe,,
2024-09-12 15:00:00,2024-09-12 15:31:47,00:31:47,6.85,12.9,SNT-Dachnoe,,
2024-09-17 22:20:00,2024-09-17 22:47:02,00:27:02,5.6,12.4,6 SNT,,
2024-09-19 17:30:00,2024-09-19 18:02:57,00:32:57,6.85,12.5,SNT-Dachnoe,,
2024-09-24 16:30:00,2024-09-24 17:02:14,00:32:14,6.85,12.8,SNT-Dachnoe,,
2024-09-26 16:30:00,2024-09-26 17:00:25,00:30:25,6.85,13.5,SNT-Dachnoe,,
2024-10-01 16:00:00,2024-10-01 16:30:49,00:30:49,6.85,13.3,SNT-Dachnoe,,
2024-11-28 16:00:00,2024-11-28 16:38:07,00:38:07,6.1,9.6,Viana,High elevation changes; Dirt road,gap bc relocation to portugal
2024-12-02 17:00:00,2024-12-02 17:38:05,00:38:05,6.3,9.9,Viana-mountain,High elevation changes; Dirt road,
2024-12-05 17:00:00,2024-12-05 17:39:45,00:39:45,6.6,10.0,Viana-mountain,High elevation changes; Dirt road,
2024-12-07 08:00:00,2024-12-07 08:40:09,00:40:09,7.7,11.5,Viana-river-side,,
2025-01-04 08:00:00,2025-01-04 08:41:00,00:41:00,7.7,11.3,Viana-river-side,,
2025-01-07 22:00:00,2025-01-07 22:42:34,00:42:34,7.8,11.0,Viana-river-side,,
2025-01-10 15:00:00,2025-01-10 15:39:40,00:39:40,6.6,10.0,Viana-mountain,,
2025-01-13 22:00:00,2025-01-13 22:40:08,00:40:08,7.8,11.7,Viana-river-side,,
2025-01-18 22:00:00,2025-01-18 22:41:27,00:41:27,7.8,11.3,Viana-river-side,,
2025-01-20 17:30:00,2025-01-20 18:09:40,00:39:40,6.6,10.0,Viana-mountain,,
2025-01-22 14:30:00,2025-01-22 15:08:10,00:38:10,6.6,10.4,Viana-mountain,,
2025-01-27 17:30:00,2025-01-27 18:09:14,00:39:14,7.8,11.9,Viana-river-side,,
2025-01-31 17:00:00,2025-01-31 17:39:14,00:39:14,6.6,10.1,Viana-mountain,,
2025-02-03 18:30:00,2025-02-03 19:09:00,00:39:00,6.6,10.2,Viana-mountain,,
2025-02-07 16:30:00,2025-02-07 17:08:05,00:38:05,6.6,10.4,Viana-mountain,,
2025-02-11 14:30:00,2025-02-11 15:09:15,00:39:15,6.6,10.1,Viana-mountain,,
2025-02-13 17:00:00,2025-02-13 17:37:25,00:37:25,6.6,10.6,Viana-mountain,,
2025-02-19 18:00:00,2025-02-19 18:38:59,00:38:59,6.6,10.2,Viana-mountain,,
2025-02-25 14:30:00,2025-02-25 15:07:30,00:37:30,6.6,10.6,Viana-mountain,,
2025-02-27 17:00:00,2025-02-27 17:39:18,00:39:18,6.6,10.1,Viana-mountain,,
2025-03-04 14:30:00,2025-03-04 15:10:15,00:40:15,6.6,9.8,Viana-mountain,,
2025-03-27 16:00:00,2025-03-27 16:43:10,00:43:10,6.6,9.2,Viana-mountain,,
2025-04-01 14:30:00,2025-04-01 15:10:04,00:40:04,6.6,9.9,Viana-mountain,,
2025-04-03 13:30:00,2025-04-03 14:10:25,00:40:25,6.6,9.8,Viana-mountain,,
2025-04-09 17:20:00,2025-04-09 18:00:44,00:40:44,6.6,9.7,Viana-mountain,,
2025-04-10 19:00:00,2025-04-10 19:37:39,00:37:39,6.6,10.5,Viana-mountain,,
2025-04-17 17:40:00,2025-04-17 18:20:55,00:40:55,6.6,9.7,Viana-mountain,,
2025-04-22 14:30:00,2025-04-22 15:09:15,00:39:15,6.6,10.1,Viana-mountain,,
2025-04-24 18:00:00,2025-04-24 18:39:42,00:39:42,6.6,10.0,Viana-mountain,,
2025-04-29 17:30:00,2025-04-29 18:10:01,00:40:01,6.6,9.9,Viana-mountain,,
2025-05-01 16:10:00,2025-05-01 16:49:20,00:39:20,6.6,10.1,Viana-mountain,,
2025-05-02 16:10:00,2025-05-02 16:48:05,00:38:05,6.6,10.4,Viana-mountain,,
2025-05-08 18:25:00,2025-05-08 19:04:40,00:39:40,6.6,10.0,Viana-mountain,,
2025-05-14 15:30:00,2025-05-14 16:08:01,00:38:01,6.6,10.4,Viana-mountain,,
2025-05-15 16:30:00,2025-05-15 17:08:15,00:38:15,6.6,10.4,Viana-mountain,,
2025-05-20 14:15:00,2025-05-20 14:55:35,00:40:35,6.6,9.8,Viana-mountain,,
2025-05-22 18:15:00,2025-05-22 18:53:20,00:38:20,6.6,10.3,Viana-mountain,,
2025-05-29 18:30:00,2025-05-29 19:09:05,00:39:05,6.6,10.1,Viana-mountain,,
2025-06-03 18:30:00,2025-06-03 19:08:32,00:38:32,6.6,10.3,Viana-mountain,,
2025-06-05 14:10:00,2025-06-05 14:48:40,00:38:40,6.6,10.2,Viana-mountain,,
2025-06-10 16:10:00,2025-06-10 16:48:45,00:38:45,6.6,10.2,Viana-mountain,,
2025-06-12 16:10:00,2025-06-12 16:47:05,00:37:05,6.6,10.7,Viana-mountain,,
2025-06-17 18:30:00,2025-06-17 19:09:10,00:39:10,6.6,10.1,Viana-mountain,,
2025-06-24 15:10:00,2025-06-24 15:49:12,00:39:12,6.6,10.1,Viana-mountain,,
2025-06-26 13:40:00,2025-06-26 14:17:30,00:37:30,6.6,10.6,Viana-mountain,,
2025-07-01 17:00:00,2025-07-01 17:40:35,00:40:35,6.6,9.8,Viana-mountain,,
2025-07-03 19:30:00,2025-07-03 20:10:20,00:40:20,6.6,9.8,Viana-mountain,,
2025-07-22 16:00:00,2025-07-22 16:37:55,00:37:55,6.6,10.4,Viana-mountain,,
