start_dt,duration,finish_dt,type,formula,best_set_reps_num,total,notes,
13-03-24 16:30,0:30:00,13-03-24 17:00,pull_ups,5*10 + 2*20,20,90,,
14-03-24 16:30,0:30:00,14-03-24 17:00,dips,5*20 + 2*35,35,170,,
15-03-24 16:30,0:30:00,15-03-24 17:00,pull_ups,5*10 + 2*15,15,80,,
17-03-24 16:30,0:30:00,17-03-24 17:00,dips,5*20 + 2*35,35,170,,
19-03-24 16:30,0:30:00,19-03-24 17:00,pull_ups,5*10 + 3*15,15,95,,
20-03-24 16:30,0:30:00,20-03-24 17:00,dips,5*20 + 2*35,35,170,,
22-03-24 16:30,0:30:00,22-03-24 17:00,pull_ups,5*10 + 2*20,20,90,,
26-03-24 16:30,0:30:00,26-03-24 17:00,dips,5*20 + 3*30,30,190,,
27-03-24 16:30,0:30:00,27-03-24 17:00,pull_ups,5*10 + 3*15,15,95,,
05-04-24 16:30,0:30:00,05-04-24 17:00,dips,5*20,20,100,illness,
06-04-24 16:30,0:30:00,06-04-24 17:00,pull_ups,5*10,10,50,,
07-04-24 16:30,0:30:00,07-04-24 17:00,dips,7*20,20,140,,
08-04-24 16:30,0:30:00,08-04-24 17:00,pull_ups,6*10,10,60,,
09-04-24 16:30,0:30:00,09-04-24 17:00,dips,5*20 + 2*30,30,160,,
10-04-24 18:30,0:30:00,10-04-24 19:00,pull_ups,5*10 + 2*15,15,80,,
14-04-24 14:00,0:30:00,14-04-24 14:30,dips,5*20 + 2*30,30,160,,
15-04-24 15:30,0:30:00,15-04-24 16:00,pull_ups,5*10 + 2*15,15,80,,
20-04-24 14:30,0:30:00,20-04-24 15:00,dips,5*20 + 2*30,30,160,,
22-04-24 23:00,0:30:00,22-04-24 23:30,pull_ups,5*10 + 2*15,15,80,,
24-04-24 14:30,0:30:00,24-04-24 15:00,dips,5*20 + 2*30,30,160,,
25-04-24 22:00,0:30:00,25-04-24 22:30,pull_ups,3*10 + 2*15 + 2*10,15,80,"variations, abs",
27-04-24 22:30,0:30:00,27-04-24 23:00,dips,5*20 + 2*30,30,160,,
29-04-24 22:30,0:30:00,29-04-24 23:00,pull_ups,5*10 + 2*15,15,80,,
30-04-24 22:30,0:30:00,30-04-24 23:00,dips,5*20 + 2*30,30,160,,
03-05-24 22:00,0:30:00,03-05-24 22:30,pull_ups,5*10 + 2*15,15,80,,
07-05-24 22:30,0:30:00,07-05-24 23:00,dips,5*20 + 2*30,30,160,,
08-05-24 22:00,0:30:00,08-05-24 22:30,pull_ups,5*10 + 2*15,15,80,,
10-05-24 22:30,0:30:00,10-05-24 23:00,dips,5*20 + 2*30,30,160,,
12-05-24 22:00,0:30:00,12-05-24 22:30,pull_ups,5*10 + 1*15 + 1*20,20,85,,
13-05-24 22:30,0:30:00,13-05-24 23:00,dips,5*20 + 2*30,30,160,,
15-05-24 16:00,0:30:00,15-05-24 16:30,pull_ups,5*10 + 2*15 + 1*10,15,90,,
17-05-24 22:30,0:30:00,17-05-24 23:00,dips,5*20 + 2*35,35,170,,
19-05-24 21:30,0:30:00,19-05-24 22:00,pull_ups,5*10 + 2*17,17,84,,
20-05-24 22:30,0:30:00,20-05-24 23:00,dips,5*20 + 2*30,30,160,,
22-05-24 22:30,0:30:00,22-05-24 23:00,pull_ups,5*10 + 2*15,15,80,,
24-05-24 13:00,0:30:00,24-05-24 13:30,dips,5*20 + 2*30,30,160,,
25-05-24 22:30,0:30:00,25-05-24 23:00,pull_ups,5*10 + 2*15,15,80,,
27-05-24 22:00,0:30:00,27-05-24 22:30,dips,5*20 + 2*30,30,160,,
28-05-24 22:30,0:30:00,28-05-24 23:00,pull_ups,5*10 + 2*15,15,80,,
29-05-24 22:30,0:30:00,29-05-24 23:00,dips,5*20 + 2*30,30,160,,
02-06-24 22:30,0:30:00,02-06-24 23:00,pull_ups,5*10 + 3*15,15,95,,
03-06-24 16:30,0:30:00,03-06-24 17:00,dips,5*20 + 2*35,35,170,,
05-06-24 20:15,0:30:00,05-06-24 20:45,pull_ups,5*10 + 3*15,15,95,,
07-06-24 22:30,0:30:00,07-06-24 23:00,dips,5*20 + 2*30,30,160,,
08-06-24 18:00,0:30:00,08-06-24 18:30,pull_ups,5*10 + 2*15 + 1*10,15,90,,
11-06-24 20:30,0:30:00,11-06-24 21:00,dips,5*20 + 3*30,30,190,,
12-06-24 20:00,0:30:00,12-06-24 20:30,pull_ups,5*10 + 2*15 + 2*10,15,100,,
15-06-24 20:30,0:30:00,15-06-24 21:00,dips,5*20 + 2*30,30,160,,
16-06-24 22:00,0:30:00,16-06-24 22:30,pull_ups,5*10 + 2*15,15,80,,
18-06-24 14:00,0:30:00,18-06-24 14:30,dips,5*20 + 2*30,30,160,,
19-06-24 15:30,0:30:00,19-06-24 16:00,pull_ups,5*10 + 2*15,15,80,,
20-06-24 20:00,0:30:00,20-06-24 20:30,dips,5*20 + 2*30,30,160,,
23-06-24 23:30,0:30:00,24-06-24 00:00,pull_ups,5*10 + 2*15,15,80,,
25-06-24 13:30,0:30:00,25-06-24 14:00,dips,5*20 + 2*35,35,170,,
